Id,Category
1,1
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,0
63,0
64,0
65,1
66,0
67,0
68,0
69,0
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,0
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,1
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,0
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,0
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,1
143,0
144,0
145,0
146,1
147,0
148,1
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,0
157,1
158,0
159,0
160,1
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,0
175,0
176,0
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,1
201,1
202,0
203,0
204,1
205,1
206,1
207,0
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,0
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,1
263,1
264,1
265,0
266,1
267,0
268,1
269,0
270,1
271,0
272,0
273,0
274,1
275,1
276,1
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,1
285,0
286,1
287,1
288,0
289,0
290,0
291,0
292,0
293,1
294,0
295,0
296,1
297,1
298,1
299,0
300,0
301,0
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,1
316,0
317,0
318,1
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,0
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,1
377,1
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,1
412,0
413,0
414,1
415,0
416,1
417,1
418,1
419,0
420,1
421,1
422,0
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,0
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,0
459,0
460,1
461,0
462,1
463,0
464,1
465,0
466,0
467,1
468,0
469,0
470,1
471,1
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,1
499,0
500,0
501,0
502,1
503,0
504,1
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,0
522,0
523,0
524,1
525,1
526,1
527,1
528,0
529,1
530,0
531,0
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,1
543,1
544,0
545,0
546,1
547,1
548,0
549,1
550,0
551,0
552,0
553,0
554,0
555,1
556,0
557,0
558,1
559,0
560,0
561,1
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,1
572,1
573,0
574,0
575,1
576,0
577,0
578,0
579,1
580,1
581,1
582,0
583,0
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,0
592,1
593,1
594,0
595,0
596,1
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,1
605,0
606,0
607,1
608,1
609,1
610,0
611,0
612,1
613,0
614,0
615,1
616,0
617,1
618,1
619,1
620,1
621,0
622,0
623,0
624,0
625,0
626,1
627,0
628,0
629,0
630,1
631,0
632,0
633,0
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,1
649,0
650,1
651,0
652,0
653,1
654,0
655,0
656,1
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,0
667,1
668,1
669,1
670,1
671,0
672,0
673,0
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,1
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,1
695,0
696,0
697,0
698,0
699,1
700,1
701,0
702,0
703,1
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,0
719,0
720,0
721,1
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,1
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,1
756,0
757,1
758,0
759,0
760,0
761,0
762,0
763,0
764,1
765,1
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,1
775,1
776,0
777,0
778,0
779,0
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,1
791,1
792,1
793,1
794,0
795,1
796,0
797,0
798,0
799,1
800,0
801,1
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,1
815,0
816,0
817,0
818,1
819,1
820,1
821,0
822,1
823,1
824,0
825,0
826,0
827,1
828,0
829,0
830,0
831,1
832,1
833,0
834,1
835,1
836,1
837,1
838,0
839,0
840,0
841,1
842,0
843,0
844,0
