Id,Category
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,1
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,0
59,1
60,0
61,1
62,0
63,1
64,0
65,0
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,0
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,1
85,1
86,1
87,0
88,1
89,0
90,1
91,1
92,0
93,0
94,0
95,1
96,1
97,1
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,1
106,1
107,0
108,0
109,0
110,1
111,0
112,1
113,0
114,0
115,0
116,0
117,1
118,0
119,1
120,0
121,0
122,0
123,1
124,0
125,0
126,1
127,1
128,0
129,0
130,1
131,0
132,0
133,0
134,1
135,1
136,1
137,0
138,0
139,0
140,1
141,1
142,1
143,0
144,1
145,1
146,0
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,1
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,0
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,0
219,0
220,1
221,0
222,0
223,1
224,0
225,0
226,0
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,0
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,1
278,1
279,0
280,0
